,News Source,Tweet,Tweets Ago,Date,Compound,Positive,Neutral,Negative
114,@BBCNews,"Friday's Guardian: ""PM to push Trump on trade deal as Tory anger over #Brexit goes on"" (via @hendopolis)… https://t.co/0Da2F0IRRs",115,Thu Jul 12 21:59:20 +0000 2018,-0.5719,0.0,0.171,0.829
115,@BBCNews,"Friday's Mirror: ""Donald Thump"" (via @hendopolis) #tomorrowspaperstoday https://t.co/hUxJaMcG2V",116,Thu Jul 12 21:59:14 +0000 2018,0.0,0.0,0.0,1.0
116,@BBCNews,Source of cosmic 'ghost' particle revealed https://t.co/liSCDWqjFz,117,Thu Jul 12 21:45:10 +0000 2018,0.0,0.0,0.0,1.0
117,@BBCNews,"Friday's Metro: ""Trump: Brits like me a lot"" (via @hendopolis) #tomorrowspaperstoday https://t.co/QCZsH7fjnH",118,Thu Jul 12 21:23:55 +0000 2018,0.3612,0.2,0.0,0.8
118,@BBCNews,"Friday's Express: ""Tory MPs revolt over May's #Brexit plan"" (via @hendopolis) #tomorrowspaperstoday https://t.co/qq3hAwXdes",119,Thu Jul 12 21:23:49 +0000 2018,0.0,0.0,0.0,1.0
119,@BBCNews,"Friday's i: ""Trump flies in to diplomatic storm"" (via @hendopolis) #tomorrowspaperstoday https://t.co/4WHdvNZPqq",120,Thu Jul 12 21:10:34 +0000 2018,0.0,0.0,0.0,1.0
120,@FoxNews,Stunning biblical 'spies' mosaic discovered in Israel https://t.co/9fKzlXpBe2,121,Thu Jul 12 21:08:51 +0000 2018,0.3818,0.271,0.0,0.729
121,@FoxNews,Peter Strzok to @congressmanraja on Rudy Giuliani's October 2016 comments hinting that a 'surprise' was coming in t… https://t.co/GEApigIiPs,122,Thu Jul 12 21:02:47 +0000 2018,0.0,0.0,0.0,1.0
122,@FoxNews,"On questions about the Steele dossier, Peter Strzok tells @RepDeSantis: ""The FBI has directed me to not answer that… https://t.co/4gvTQ63vFd",123,Thu Jul 12 20:55:02 +0000 2018,0.0,0.0,0.0,1.0
123,@FoxNews,Mexico earthquake uncovers ancient temple hidden in damaged pyramid. https://t.co/4kJorseQEA,124,Thu Jul 12 20:48:48 +0000 2018,-0.4404,0.0,0.244,0.756
124,@FoxNews,"How under-fire Facebook is bolstering its battle against fake news.
https://t.co/ZFyNYs8pBG",1,Thu Jul 12 20:38:09 +0000 2018,-0.6908,0.0,0.388,0.612
125,@FoxNews,"Peter Strzok to Rep. @TGowdySC: ""I had pre-judged nothing."" https://t.co/CJiBge3TRP https://t.co/aeyKFkeh17",2,Thu Jul 12 20:29:23 +0000 2018,0.0,0.0,0.0,1.0
126,@FoxNews,".@POTUS starts UK leg amid scattered protests, Brexit divisions. (via @AdamShawNY) https://t.co/6kYybZQ3kS",3,Thu Jul 12 20:13:21 +0000 2018,-0.2263,0.0,0.147,0.853
127,@FoxNews,“There’s no guessing at what we will experience down the road from all the pollution and toxins created in this smo… https://t.co/sQfQk4Dw7T,4,Thu Jul 12 20:05:00 +0000 2018,-0.0516,0.083,0.091,0.826
128,@FoxNews,".@RepTomMarino to Peter Strzok: ""I say this with no prejudice, I think you are your own worst enemy. You have an an… https://t.co/SI1QfH2AJb",5,Thu Jul 12 19:48:59 +0000 2018,-0.9201,0.0,0.421,0.579
129,@FoxNews,"Peter Strzok: ""Political belief does not equate to bias and we always have to go to the evidence. If you can demons… https://t.co/JGV1wjla3E",6,Thu Jul 12 19:45:22 +0000 2018,0.0762,0.056,0.0,0.944
130,@FoxNews,".@JudgeTedPoe: ""You say you're not bias, but we base things on evidence, not based necessarily on words. And your w… https://t.co/WC5Jt9V25Z",7,Thu Jul 12 19:42:08 +0000 2018,0.0382,0.054,0.0,0.946
131,@FoxNews,".@JudgeTedPoe to Peter Strzok: ""I have heard your statements today, and it seems to me that your own words have sho… https://t.co/cBnyd0cLoq",8,Thu Jul 12 19:31:08 +0000 2018,0.0,0.0,0.0,1.0
132,@FoxNews,Faulkner Presses House Dem: How Can Strzok Prove He Wasn't Acting on Anti-Trump Bias? https://t.co/5EMnTbAN2G,9,Thu Jul 12 19:29:07 +0000 2018,-0.1027,0.0,0.091,0.909
133,@FoxNews,".@replouiegohmert: ""When you have text messages, Mr. Strzok, the way you do, saying the things you did, you'd been… https://t.co/6OogD9z70z",10,Thu Jul 12 19:27:32 +0000 2018,0.0,0.0,0.0,1.0
134,@FoxNews,"British Prime Minister Theresa May hosts welcome ceremony for President @realDonaldTrump, @FLOTUS. https://t.co/GMRbUWcf4P",11,Thu Jul 12 19:13:55 +0000 2018,0.4588,0.2,0.0,0.8
135,@FoxNews,".@KarlRove on @POTUS, Putin meeting: ""Putin depends upon strength. If President @realDonaldTrump displays weakness… https://t.co/yJfbPTFNXp",12,Thu Jul 12 19:12:09 +0000 2018,0.4939,0.186,0.0,0.814
